West | Elizabeth | Female | Turquoise | 6/30/1969
Lowery | Eva | Female | Puce | 6/30/1950
Murray | Jordan | Male | Silver | 6/30/2018
Hicks | Xavier | Male | Persian-blue | 6/30/2011
Wilkinson | Connor | Male | Burgundy | 6/30/2020
Shelton | Hunter | Male | Sapphire | 6/30/1987
Dennis | Lucas | Male | Beige | 6/30/1952
Wilder | Kylie | Female | Blue | 6/30/1942
Daugherty | Owen | Male | Turquoise | 6/30/2000
Hunter | Kylie | Female | Burgundy | 6/30/1966
Figueroa | Cooper | Male | Azure | 6/30/2009
Carver | Ella | Female | Desert | 6/30/2013
Wilkins | Emily | Female | Turquoise | 6/30/1943
Davidson | Gianna | Female | Maroon | 6/30/2014
Schultz | Thomas | Male | Desert | 6/30/1966
Diaz | Elizabeth | Female | Magenta | 6/30/1931
Roman | Trinity | Female | Lime | 6/30/2005
Higgins | Taylor | Female | Lilac | 6/30/1922
Blanchard | Abigail | Female | Cyan | 6/30/1974
Salinas | Daniel | Male | Beige | 6/30/1954
Watkins | Khloe | Female | Amber | 6/30/1975
Sherman | Bella | Female | Rose | 6/30/2007
Garner | Tristan | Male | Lilac | 6/30/1935
Sears | Kylie | Female | Gold | 6/30/1931
Hart | Morgan | Female | Byzantium | 6/30/1986
Myers | Victoria | Female | Desert | 6/30/2013
Francis | Sydney | Female | Bronze | 6/30/1943
Meadows | Kennedy | Female | Yellow | 6/30/1965
Kim | Gianna | Female | Salmon | 6/30/1974
Vaughn | Elijah | Male | Lemon | 6/30/1920
Buckley | Madelyn | Female | Puce | 6/30/1972
Leach | Grace | Female | Emerald | 6/30/2008
Skinner | Caroline | Female | Cerise | 6/30/1968
Torres | Sofia | Female | Coffee | 6/30/1996
Donovan | Claire | Female | Slate-gray | 6/30/1961
Ball | Aria | Female | Crimson | 6/30/1968
Mcconnell | Henry | Male | Spring-bud | 6/30/1928
Hubbard | Lydia | Female | Indigo | 6/30/2019
Hardin | Isabella | Female | Taupe | 6/30/1977
Morris | Blake | Male | Taupe | 6/30/1950
Moses | Isabella | Female | Slate-gray | 6/30/1991
Serrano | Liam | Male | Cobalt | 6/30/1921
Short | Eli | Male | Prussian-blue | 6/30/1946
Irwin | Hudson | Male | Purple | 6/30/1937
Brady | Aubree | Female | Salmon | 6/30/1990
Haney | Kylie | Female | Carmine | 6/30/2019
Nunez | Zoe | Female | Raspberry | 6/30/2003
Mckay | Faith | Female | Cobalt | 6/30/1959
Landry | Wyatt | Male | Emerald | 6/30/1997
Roy | Blake | Male | Bronze | 6/30/1991
Black | Connor | Male | Prussian-blue | 6/30/2008
Bradford | Mason | Male | Jungle-green | 6/30/1943
Mann | Victoria | Female | Rose | 6/30/1912
Norton | Maya | Female | Ultramarine | 6/30/1949
Cooper | Hudson | Male | Electric-blue | 6/30/1961
Frazier | Carter | Male | White | 6/30/1978
Banks | Piper | Female | Turquoise | 6/30/1916
Horn | Bentley | Male | Plum | 6/30/1969
Blankenship | Nathaniel | Male | Coral | 6/30/1942
Ortiz | Noah | Male | Taupe | 6/30/1916
Floyd | Arianna | Female | Sangria | 6/30/2010
James | Cooper | Male | Sapphire | 6/30/1937
Pope | Chase | Male | Amaranth | 6/30/1983
Barton | Aria | Female | Red | 6/30/1941
Gregory | Kayla | Female | Silver | 6/30/1956
Phillips | Zoey | Female | Harlequin | 6/30/2004
Donaldson | Peyton | Female | Gray | 6/30/1951
Cummings | Lillian | Female | Beige | 6/30/1997
Fry | Molly | Female | Cerulean | 6/30/2015
Gibson | Gianna | Female | Indigo | 6/30/1983
Cabrera | Jose | Male | Sangria | 6/30/2003
Mccall | Henry | Male | Copper | 6/30/1946
Hubbard | Lauren | Female | Raspberry | 6/30/1918
Perkins | Alexander | Male | Purple | 6/30/2019
Cooley | Kylie | Female | Jade | 6/30/1945
Rodriquez | Hailey | Female | Purple | 6/30/1976
Parrish | Aaliyah | Female | Chartreuse | 6/30/2004
Montgomery | Benjamin | Male | Pear | 6/30/2003
Walters | Andrew | Male | Red | 6/30/1936
Fox | Caroline | Female | Ivory | 6/30/1940
Ortiz | Emily | Female | Chartreuse | 6/30/1980
Conway | Isaac | Male | Indigo | 6/30/1978
Moss | Carlos | Male | Olive | 6/30/1995
Shaw | Layla | Female | Indigo | 6/30/2011
Wolf | Jocelyn | Female | Apricot | 6/30/1973
Hensley | Adam | Male | Puce | 6/30/1914
Ward | Camila | Female | Harlequin | 6/30/2005
Bradley | Alexander | Male | Plum | 6/30/1974
Sparks | Gabriel | Male | Olive | 6/30/2005
Bolton | Peyton | Female | Azure | 6/30/2002
Fleming | Evan | Male | Amber | 6/30/1932
Boyer | Kennedy | Female | Black | 6/30/1953
Mccullough | Taylor | Female | Turquoise | 6/30/1949
Guerrero | Logan | Male | Aquamarine | 6/30/1961
Cruz | Eva | Female | Periwinkle | 6/30/1951
Clemons | James | Male | Baby-blue | 6/30/1973
Jimenez | Gabriel | Male | Ochre | 6/30/1959
Sargent | Ashley | Female | Silver | 6/30/1947
Mckenzie | Jonathan | Male | Slate-gray | 6/30/1999
Horn | David | Male | Emerald | 6/30/1925
Stewart | Katherine | Female | Yellow | 6/30/1932
Briggs | Khloe | Female | Viridian | 6/30/1920
Bird | Nevaeh | Female | Apricot | 6/30/1985
Paul | Luis | Male | Indigo | 6/30/1950
Dillard | Levi | Male | Viridian | 6/30/1927
Avery | Brooklyn | Female | Taupe | 6/30/2013
Witt | Stella | Female | Raspberry | 6/30/1914
Matthews | Melanie | Female | Puce | 6/30/1995
Munoz | Colton | Male | Black | 6/30/1922
Ruiz | Audrey | Female | Copper | 6/30/2002
Collier | Hannah | Female | Electric-blue | 6/30/1994
Page | Matthew | Male | Sangria | 6/30/2007
Kinney | Reagan | Female | Emerald | 6/30/1926
Mack | Jack | Male | Lilac | 6/30/1985
